"row ID","Gradient Boosted","Random Forest","MLP"
"n_tokens_title",-0.08339063363345113,-0.07653131123309165,-0.09280056713200108
"average_token_length",-0.16673036172881361,-0.16409575880430444,-0.16747151615869862
"num_keywords",0.19424088631555161,0.16117959074246868,0.25228297736899924
"data_channel_is_lifestyle",0.13376944571222585,0.12347224333503662,0.11266620231660561
"data_channel_is_entertainment",-0.15339933075365786,-0.11038134527237112,-0.15504745290072974
"data_channel_is_bus",-0.09969108283767437,-0.1078256524137696,-0.12776520564401067
"data_channel_is_socmed",0.21757441593990717,0.1945000641530783,0.20809147236327852
"data_channel_is_tech",0.09969962819448079,0.10960041084581405,0.12085719250577369
"data_channel_is_world",-0.47320141302709157,-0.4464691991834455,-0.4751264114854687
"kw_min_min",0.031538005302409626,0.029086373982351137,0.06157848863019678
"kw_avg_max",0.17121027425831808,0.16529354274208083,0.14393906518991986
"kw_min_avg",0.2856236985266829,0.286173418844255,0.2992094226869697
"LDA_00",0.043203124077977224,0.019101177797766378,0.057471497740500505
"LDA_01",-0.1111613626170335,-0.08884043986306084,-0.07797988993328821
"LDA_03",0.432659222224728,0.3938366573089882,0.42208330561334484
"LDA_04",0.07286547481062991,0.09510936086176605,0.08708215912357027
"global_subjectivity",0.23147686279721746,0.20041027045082038,0.15786267329339732
"global_rate_positive_words",0.14052999134700805,0.13729427480802217,0.14359066308262625
"rate_positive_words",0.00853674188337248,0.012344395385961571,0.01930285952226511
"rate_negative_words",-0.13696514521039127,-0.1455552567949531,-0.1718224985887331
"avg_positive_polarity",0.11190628529147745,0.09580054845952002,0.08571984807108003
"max_positive_polarity",0.08437562805484441,0.07104542253161436,0.07365987623706152
"avg_negative_polarity",-0.11238364141853031,-0.1027339308185829,-0.09600528507499403
"min_negative_polarity",-0.048954800889808525,-0.03614216720918207,-0.04007895263201815
"title_subjectivity",0.15476723525887506,0.14432444311383993,0.15010915040980424
"title_sentiment_polarity",0.1209729737680229,0.11333615707587474,0.10486221703447483
"abs_title_subjectivity",0.0038155512508234748,-0.007974219667485852,0.007199636747067633
"abs_title_sentiment_polarity",0.16924177970687032,0.16475496517559743,0.1674559364082836
"class",,,
"wednesday",-0.05919911323575305,-0.05010029306974751,-0.08220062098957953
"saturday",0.15480800372235118,0.14385416606540066,0.17178202111052313
"monday",-0.03584074452604682,-0.031039278137335383,-0.0040991793561535985
"friday",-0.012837073754726171,-0.005761077101462974,0.005500680193455391
"sunday",0.16660198043121366,0.14087769595490318,0.2072567335864916
"thursday",-0.044090852833542346,-0.04902092784101341,-0.08442823252820147
"tuesday",-0.05434403642145838,-0.04613533891928779,-0.07489069423895098
